"","x"
"573",538.453747756203
"574",536.431095111332
"575",537.284489181205
"576",539.884279238022
"577",536.031049427596
"578",547.145792122369
"579",538.531803418958
"580",546.053348142489
"581",541.891943866717
"582",541.809267005458
"583",537.332806190655
"584",540.445474835019
"585",529.826063476193
"586",545.357075128019
"587",532.913103129286
"588",536.118411092167
"589",527.430329039989
"590",537.707552939836
"591",545.650670875788
"592",532.057173752318
"593",533.640356653895
"594",532.983743794302
"595",549.909424685055
"596",531.997372268947
"597",539.6394397687
"598",543.629003765327
"599",542.782092448684
"600",538.537531699734
"601",535.363111018053
"602",526.355244121175
"603",544.07532842434
"604",537.859165658637
"605",532.809897283698
"606",544.873868364805
"607",536.438663876759
"608",538.393579958461
"609",547.862721147484
"610",533.152112946762
"611",539.361216664068
"612",535.527023250718
"613",526.753409033644
"614",535.657210377756
"615",548.152088841667
"616",534.63442855993
"617",544.75704830426
"618",541.219569757671
"619",542.716280355336
"620",534.429731127761
"621",537.398344678841
"622",540.187248531267
"623",547.620097822673
"624",528.364502909277
"625",537.067593799562
"626",542.707797639646
"627",539.163613639963
"628",536.268650885146
"629",542.537330619436
"630",528.615162251105
"631",536.564884182836
"632",524.618496181889
"633",534.017184242571
"634",537.954433293093
"635",529.415506098311
"636",538.169741969845
"637",541.404553911653
"638",540.080754483121
"639",538.123298271633
"640",543.524596396424
"641",548.109952612055
"642",539.482084281904
"643",529.613647570776
"644",531.504806312851
"645",533.101260557828
"646",527.93976016425
"647",534.139836169859
"648",532.813576894233
"649",541.430232130114
"650",542.926415320248
"651",540.307719529894
"652",546.934822332581
"653",532.316161048405
"654",547.576383058647
"655",532.396623054044
"656",538.203944697372
"657",535.415090846267
"658",532.464902941825
"659",539.14089407665
"660",543.629987875914
"661",536.241392136308
"662",533.151909410886
"663",542.453854612539
"664",543.014266390103
"665",537.358197643022
"666",538.981149627514
"667",535.939404990695
"668",539.157753716337
"669",541.378040765519
"670",538.607081521528
"671",535.130400865621
"672",526.982707988529
"673",545.004482989358
"674",526.961020272274
"675",537.983452829528
"676",536.816343712242
"677",546.945471355825
"678",541.769397144159
"679",540.240510732651
"680",534.972969179581
"681",533.168945928901
"682",537.122539646241
"683",541.809019396593
"684",533.976997968743
"685",543.129017801128
"686",535.595583578743
"687",542.900759761177
"688",541.558154705612
"689",530.988388407786
"690",542.498440153559
"691",543.958847523406
"692",542.734117463968
"693",536.868756278529
"694",537.511818260456
"695",541.570412005112
"696",536.206136425957
"697",533.285231322391
"698",540.78294643297
"699",538.127728011626
"700",529.311227997328
"701",542.394309886006
"702",534.375115892335
"703",528.823048695957
"704",532.425380371823
"705",543.714475219524
"706",547.259959086425
"707",547.263195556705
"708",544.076517430733
