id_individual,Sex_1_0,Haplotype,Number_sightings,Av_water_depth,Av_group_size,Sponger,Demons_sponging_forage,Sp_Order_acquisition,Mum_known,Not_weaned
CRR,-0.5,E,18,2.838888889,5.5,no,NA,NA,yes,0
CRS,0,NA,1,7.8,10,no,NA,NA,no,0
CRT,-0.5,E,16,12.13125,1.875,yes,no,66,yes,0
CRY,0,NA,2,3.35,7.5,no,NA,NA,no,0
CSS,0,NA,3,4.566666667,8,no,NA,NA,no,0
CTE,-0.5,NA,9,4.566666667,4.111111111,no,NA,NA,no,0
CTO,0.5,E,23,6.343478261,2.826086957,no,NA,NA,yes,0
CTR,0,NA,29,8.424137931,2.310344828,no,NA,NA,yes,0
CUB,-0.5,E,22,14.78181818,3.363636364,yes,yes,11,no,0
CUE,0,NA,2,4.15,11,no,NA,NA,yes,0
CUR,0,NA,2,10.6,8,no,NA,NA,no,0
CWD,0.5,E,11,11.80909091,3.363636364,no,NA,NA,no,0
DAB,0.5,B,86,4.968604651,5.895348837,no,NA,NA,no,0
DAI,-0.5,E,32,14.365625,3.625,yes,yes,4,no,0
DAL,-0.5,D,6,6.516666667,4.5,no,NA,NA,no,0
DAM,-0.5,NA,53,3.629411765,6.905660377,no,NA,NA,no,0
DAN,0,NA,3,9.666666667,7.333333333,no,NA,NA,no,0
DAR,0,NA,3,7.4,7.333333333,no,NA,NA,no,0
DAV,0,NA,7,7.728571429,4.428571429,no,NA,NA,no,0
DAW,0,NA,2,5.15,15,no,NA,NA,no,0
DBD,-0.5,E,10,4.98,4,no,NA,NA,no,0
DCO,0,NA,1,15.7,2,no,NA,NA,no,0
DEB,-0.5,NA,2,3.8,5,no,NA,NA,no,0
DEC,0.5,E,2,13.7,8.5,no,NA,NA,no,0
DEF,0,NA,1,11.3,3,no,NA,NA,no,0
DEI,0,NA,2,1.3,6.5,no,NA,NA,yes,0
DEL,0.5,E,55,11.28909091,3.654545455,no,NA,NA,yes,0
DEM,0,NA,1,3.9,1,no,NA,NA,no,0
DEN,0.5,E,43,3.926190476,6.279069767,no,NA,NA,no,0
DEP,0.5,E,33,12.03030303,6.727272727,yes,no,40,no,0
DER,0,NA,0,NA,NA,no,NA,NA,no,0
DES,0.5,H,10,3.47,7.1,no,NA,NA,no,0
DET,-0.5,E,35,6.126470588,5.371428571,no,NA,NA,no,0
DEV,-0.5,E,74,5.135135135,4.283783784,no,NA,NA,yes,0
DEW,0,NA,3,4.433333333,8.333333333,no,NA,NA,yes,0
DGG,-0.5,H,48,2.8,3.020833333,no,NA,NA,no,0
DIA,-0.5,H,2,7.75,6.5,no,NA,NA,no,0
DIC,0,NA,1,1.6,7,no,NA,NA,no,0
DID,0.5,H,25,3.0375,4.16,no,NA,NA,yes,0
DIE,0,NA,1,7.3,3,no,NA,NA,no,0
DIG,0,NA,1,14.8,1,no,NA,NA,no,0
DIN,0.5,H,24,5.3875,3.5,no,NA,NA,no,0
DIR,0,NA,10,7.16,5.7,no,NA,NA,no,0
DKM,0,NA,1,14.7,4,no,NA,NA,yes,0
DLB,0,NA,4,3.025,7.75,no,NA,NA,no,0
DLY,0,NA,4,4.925,10.25,no,NA,NA,yes,0
DNI,0,NA,1,3.5,9,no,NA,NA,no,0
DNK,0.5,E,42,8.569047619,2.43902439,no,NA,NA,yes,0
DNS,0,NA,1,7.5,2,no,NA,NA,no,0
DOK,-0.5,H,76,6.730666667,3.039473684,no,NA,NA,yes,0
DOL,0.5,H,9,12.75555556,6.222222222,no,NA,NA,no,0
DOM,0,NA,1,7.5,5,no,NA,NA,no,0
DON,0,NA,1,9,3,no,NA,NA,no,0
DOO,0.5,H,113,4.334234234,5.89380531,no,NA,NA,no,0
DOR,-0.5,NA,8,13.2,6,no,NA,NA,no,0
DOT,0,NA,2,3.8,5,no,NA,NA,yes,0
DOU,0,NA,1,8.8,9,no,NA,NA,no,0
DRA,0,NA,9,13.57777778,3.333333333,no,NA,NA,no,0
DRC,0,NA,1,4.5,2,no,NA,NA,no,0
DRG,0,NA,2,7.3,3.5,no,NA,NA,no,0
DRO,-0.5,K,11,2.68,6.363636364,no,NA,NA,no,0
DRP,0,NA,2,11.9,6,no,NA,NA,yes,0
DRT,0,NA,3,7.333333333,3.333333333,no,NA,NA,no,0
DSD,0,NA,2,8,3.5,no,NA,NA,yes,0
DSK,0,NA,5,11.38,2.2,no,NA,NA,yes,0
DSN,0,NA,1,8.6,1,no,NA,NA,no,0
DSV,0,NA,5,4.52,5.8,no,NA,NA,yes,0
DUB,0,NA,6,13.98333333,2.166666667,no,NA,NA,yes,0
DUD,0,NA,3,14.3,2,no,NA,NA,no,0
DUG,0,NA,1,5.8,6,no,NA,NA,no,0
DUM,0,NA,2,5.4,10,no,NA,NA,yes,0
DUN,-0.5,E,37,9.189189189,2.135135135,yes,yes,59,no,0
